ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Is_parent,Children,Day,Month,Quarter,Year,Tenure,Cluster,Recency,Monetary,Frequency,R,F,M,RFM_Score,Segment,T,CLTV_label
4339,1970,PhD,Partner,67353.0,0,1,2013-12-31,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,45,1,1,31,12,4,2013,12,3,37,39.69565217391305,23,4,5,4,454,Loyal Customers,180,Non-profitable
10755,1976,PostGraduation,Partner,23718.0,1,0,2013-09-02,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,39,1,1,2,9,3,2013,16,0,76,13.5,6,2,2,2,222,Hibernating,300,Non-profitable
8595,1973,Graduation,Single,42429.0,0,1,2014-02-11,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,42,1,1,11,2,1,2014,10,0,99,13.4,5,1,1,2,112,Hibernating,138,Profitable
2968,1943,PhD,Single,48948.0,0,0,2013-02-01,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,72,0,0,1,2,1,2013,23,3,53,41.0,22,3,5,4,354,Loyal Customers,513,Non-profitable
8601,1980,Graduation,Partner,80011.0,0,1,2013-04-29,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,35,1,1,29,4,2,2013,20,3,3,73.42105263157895,19,5,4,5,545,Champions,426,Non-profitable
503,1985,PostGraduation,Partner,20559.0,1,0,2013-03-12,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,30,1,1,12,3,1,2013,22,0,88,10.6,5,1,1,1,111,Hibernating,474,Non-profitable
8430,1957,Graduation,Partner,21994.0,0,1,2012-12-24,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,58,1,1,24,12,4,2012,24,0,4,7.333333333333333,3,5,1,1,511,New Customers,552,Non-profitable
2139,1975,PostGraduation,Partner,7500.0,1,0,2013-10-02,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,40,1,1,2,10,4,2013,15,0,19,6.2,5,5,1,1,511,New Customers,270,Non-profitable
9909,1996,PostGraduation,Partner,7500.0,0,0,2012-11-09,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,19,0,0,9,11,4,2012,26,0,24,17.428571428571427,7,4,2,2,422,Potential Loyalists,597,Non-profitable
7286,1968,Graduation,Partner,41728.0,1,0,2013-05-24,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,47,1,1,24,5,2,2013,19,0,92,13.75,4,1,1,2,112,Hibernating,401,Non-profitable
6566,1954,PhD,Partner,72550.0,1,1,2012-11-08,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,61,1,2,8,11,4,2012,26,3,39,69.42105263157895,19,4,4,5,445,Loyal Customers,598,Profitable
8614,1957,Graduation,Single,65486.0,0,1,2014-05-12,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,58,1,1,12,5,2,2014,7,2,29,31.6875,16,4,4,3,443,Loyal Customers,48,Non-profitable
4114,1964,PostGraduation,Partner,79143.0,0,0,2012-08-11,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,51,0,0,11,8,3,2012,29,1,2,60.46428571428572,28,5,5,4,554,Champions,687,Non-profitable
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,38,1,1,2,1,1,2013,24,0,54,14.4,5,3,1,2,312,About to sleep,543,Non-profitable
9381,1978,Graduation,Partner,66373.0,1,1,2013-06-12,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,37,1,2,12,6,2,2013,18,2,57,37.875,16,3,4,4,344,Loyal Customers,382,Non-profitable
6260,1955,PostGraduation,Partner,82384.0,0,0,2012-11-19,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,60,0,0,19,11,4,2012,25,1,55,75.26923076923077,26,3,5,5,355,Loyal Customers,587,Profitable
10383,1966,Graduation,Single,70287.0,0,0,2013-04-02,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,49,0,0,2,4,2,2013,21,3,30,54.65,20,4,4,4,444,Loyal Customers,453,Non-profitable
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,27,1,1,28,4,2,2014,8,0,31,5.8,5,4,1,1,411,Promising,62,Non-profitable
8375,1968,PhD,Partner,55954.0,0,1,2014-03-03,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,47,1,1,3,3,1,2014,10,2,63,32.375,16,2,4,3,243,At risk,118,Non-profitable
6853,1982,PostGraduation,Single,75777.0,0,0,2013-07-04,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,33,0,0,4,7,3,2013,18,3,12,71.9,20,5,4,5,545,Champions,360,Non-profitable
3076,1975,Graduation,Partner,66653.0,1,1,2012-09-07,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,40,1,2,7,9,3,2012,28,2,18,34.0,18,5,4,3,543,Champions,660,Non-profitable
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,63,1,1,18,2,1,2013,22,3,26,44.2,20,4,4,4,444,Loyal Customers,496,Non-profitable
6518,1951,PhD,Single,67680.0,0,1,2013-06-11,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,64,1,1,11,6,2,2013,18,2,8,33.666666666666664,18,5,4,3,543,Champions,383,Non-profitable
4137,1948,Graduation,Partner,70666.0,0,0,2013-12-06,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,67,0,0,6,12,4,2013,13,3,29,71.73333333333333,15,4,3,5,435,Potential Loyalists,205,Non-profitable
8082,1971,Graduation,Partner,25721.0,1,0,2013-05-21,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,44,1,1,21,5,2,2013,19,0,75,8.5,4,2,1,1,211,Hibernating,404,Non-profitable
1386,1967,Graduation,Partner,32474.0,1,1,2014-05-11,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,48,1,2,11,5,2,2014,7,0,0,3.6666666666666665,3,5,1,1,511,New Customers,49,Non-profitable
9369,1979,PostGraduation,Single,88194.0,0,1,2014-03-19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,36,1,1,19,3,1,2014,9,3,19,41.096774193548384,31,5,5,4,554,Champions,102,Non-profitable
4477,1958,Graduation,Partner,69096.0,0,1,2013-09-27,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,57,1,1,27,9,3,2013,15,2,4,38.41176470588236,17,5,4,4,544,Champions,275,Non-profitable
1357,1970,Graduation,Partner,74854.0,1,2,2013-04-08,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,45,1,3,8,4,2,2013,21,1,90,130.16666666666666,12,1,3,5,135,At risk,447,Non-profitable
1402,1954,PostGraduation,Partner,66991.0,0,0,2012-09-11,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,61,0,0,11,9,3,2012,28,3,1,69.61111111111111,18,5,4,5,545,Champions,656,Non-profitable
6312,1959,Graduation,Partner,65031.0,0,1,2013-03-17,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,56,1,1,17,3,1,2013,21,3,29,33.19230769230769,26,4,5,3,453,Loyal Customers,469,Profitable
8132,1975,PhD,Partner,60631.0,1,1,2013-04-05,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,40,1,2,5,4,2,2013,21,2,88,34.78947368421053,19,1,4,3,143,At risk,450,Non-profitable
1050,1952,Graduation,Partner,28332.0,0,0,2014-04-30,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,63,0,0,30,4,2,2014,8,0,58,9.285714285714286,7,3,2,1,321,About to sleep,60,Non-profitable
5846,1977,Graduation,Single,40246.0,1,0,2012-12-19,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,38,1,1,19,12,4,2012,24,0,68,4.333333333333333,3,2,1,1,211,Hibernating,557,Non-profitable
1859,1972,PostGraduation,Partner,75251.0,0,0,2012-08-27,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,43,0,0,27,8,3,2012,28,1,34,105.0,18,4,4,5,445,Loyal Customers,671,Non-profitable
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,39,0,0,12,10,4,2012,27,1,40,100.4090909090909,22,3,5,5,355,Loyal Customers,625,Non-profitable
10401,1976,PostGraduation,Partner,26326.0,0,0,2013-09-04,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,39,0,0,4,9,3,2013,16,0,12,6.0,3,5,1,1,511,New Customers,298,Non-profitable
1618,1965,Graduation,Partner,56046.0,0,0,2013-01-02,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,50,0,0,2,1,1,2013,24,2,9,36.42105263157895,19,5,4,3,543,Champions,543,Non-profitable
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,30,1,1,29,8,3,2012,28,0,87,20.625,8,1,2,2,122,Hibernating,669,Non-profitable
2261,1969,Graduation,Partner,26304.0,1,0,2013-06-23,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,46,1,1,23,6,2,2013,18,0,5,5.333333333333333,3,5,1,1,511,New Customers,371,Non-profitable
5346,1973,PostGraduation,Partner,23559.0,1,0,2013-07-03,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,42,1,1,3,7,3,2013,18,0,87,13.166666666666666,6,1,2,2,122,Hibernating,361,Non-profitable
4119,1963,PostGraduation,Partner,38620.0,0,0,2013-05-11,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,52,0,0,11,5,2,2013,20,0,56,31.8,10,3,3,3,333,Need Attention,414,Non-profitable
535,1987,Graduation,Single,81361.0,0,0,2014-02-25,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,28,0,0,25,2,1,2014,10,2,18,29.923076923076923,26,5,5,3,553,Champions,124,Non-profitable
5268,1960,Graduation,Partner,29440.0,1,1,2013-08-11,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,55,1,2,11,8,3,2013,16,0,95,11.2,5,1,1,1,111,Hibernating,322,Non-profitable
273,1970,PostGraduation,Partner,36138.0,1,1,2013-07-16,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,45,1,2,16,7,3,2013,17,0,48,18.875,8,3,2,2,322,About to sleep,348,Profitable
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,58,1,1,28,5,2,2014,7,2,3,28.615384615384617,13,5,3,3,533,Potential Loyalists,32,Profitable
771,1967,Graduation,Partner,54178.0,0,1,2014-01-21,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,48,1,1,21,1,1,2014,11,0,79,21.55555555555556,9,2,2,2,222,Hibernating,159,Non-profitable
11178,1972,PostGraduation,Single,42394.0,1,0,2014-03-23,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,43,1,1,23,3,1,2014,9,0,69,8.0,4,2,1,1,211,Hibernating,98,Non-profitable
7516,1983,Graduation,Partner,30096.0,1,0,2014-05-22,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,32,1,1,22,5,2,2014,7,0,30,9.0,5,4,1,1,411,Promising,38,Non-profitable
7247,1960,Graduation,Single,47916.0,0,1,2012-11-22,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,55,1,1,22,11,4,2012,25,2,72,35.64705882352941,17,2,4,3,243,At risk,584,Non-profitable
11100,1972,Graduation,Single,51813.0,1,1,2013-04-11,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,43,1,2,11,4,2,2013,21,0,37,12.6,5,4,1,2,412,Promising,444,Profitable
4646,1951,PostGraduation,Partner,78497.0,0,0,2013-12-01,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,64,0,0,1,12,4,2013,13,3,44,40.75,24,3,5,4,354,Loyal Customers,210,Non-profitable
3037,1983,PhD,Partner,50150.0,0,0,2013-06-20,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,32,0,0,20,6,2,2013,18,2,32,29.285714285714285,14,4,3,3,433,Potential Loyalists,374,Non-profitable
1473,1960,PostGraduation,Single,47823.0,0,1,2013-07-23,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,55,1,1,23,7,3,2013,17,0,0,14.4,5,5,1,2,512,New Customers,341,Profitable
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,56,1,1,30,3,1,2014,9,0,43,11.0,5,3,1,1,311,About to sleep,91,Profitable
4518,1979,Graduation,Partner,85693.0,0,1,2013-04-20,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,36,1,1,20,4,2,2013,20,3,59,46.76,25,2,5,4,254,Can't loose,435,Non-profitable
9370,1945,PhD,Partner,65846.0,0,0,2013-05-17,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,70,0,0,17,5,2,2013,19,3,68,74.66666666666667,15,2,3,5,235,At risk,408,Non-profitable
8908,1959,Graduation,Partner,87195.0,0,0,2014-05-08,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,56,0,0,8,5,2,2014,7,3,35,57.73684210526316,19,4,4,4,444,Loyal Customers,52,Non-profitable
8373,1979,UnderGraduation,Partner,24594.0,1,0,2013-12-10,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,36,1,1,10,12,4,2013,12,0,94,7.25,4,1,1,1,111,Hibernating,201,Non-profitable
7533,1964,Graduation,Partner,49096.0,1,1,2013-09-24,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,51,1,2,24,9,3,2013,15,0,15,20.77777777777778,9,5,2,2,522,Potential Loyalists,278,Non-profitable
2683,1969,Graduation,Partner,52413.0,0,2,2013-02-02,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,46,1,2,2,2,1,2013,23,3,56,41.36363636363637,22,3,5,4,354,Loyal Customers,512,Non-profitable
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,37,1,1,19,12,4,2012,24,0,17,20.714285714285715,7,5,2,2,522,Potential Loyalists,557,Non-profitable
10991,1960,PostGraduation,Partner,89058.0,0,0,2012-12-07,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,55,0,0,7,12,4,2012,25,3,18,65.38461538461539,13,5,3,4,534,Potential Loyalists,569,Non-profitable
5077,1979,Graduation,Partner,77298.0,0,1,2013-11-02,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,36,1,1,2,11,4,2013,14,3,46,42.130434782608695,23,3,5,4,354,Loyal Customers,239,Non-profitable
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,24,0,0,10,11,4,2012,26,1,40,113.75,16,3,4,5,345,Loyal Customers,596,Non-profitable
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,24,0,0,2,1,1,2013,24,2,95,30.416666666666668,24,1,5,3,153,Can't loose,543,Non-profitable
9215,1980,PhD,Partner,43974.0,1,0,2012-12-12,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,35,1,1,12,12,4,2012,25,2,19,34.4375,16,5,4,3,543,Champions,564,Non-profitable
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,53,1,2,10,9,3,2013,15,0,27,19.0,6,4,2,2,422,Potential Loyalists,292,Non-profitable
1592,1970,Graduation,Partner,90765.0,0,0,2014-01-24,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,45,0,0,24,1,1,2014,11,1,25,114.93333333333334,15,4,3,5,435,Potential Loyalists,156,Non-profitable
367,1978,PostGraduation,Partner,36550.0,1,0,2013-02-19,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,37,1,1,19,2,1,2013,22,2,74,38.46666666666667,15,2,3,4,234,At risk,495,Non-profitable
5234,1967,PostGraduation,Partner,30753.0,1,1,2013-07-11,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,48,1,2,11,7,3,2013,17,0,85,16.2,5,1,1,2,112,Hibernating,353,Non-profitable
9862,1969,Graduation,Partner,21918.0,1,0,2013-11-14,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,46,1,1,14,11,4,2013,13,0,37,6.6,5,4,1,1,411,Promising,227,Non-profitable
9805,1953,PostGraduation,Partner,56129.0,0,1,2013-06-20,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,62,1,1,20,6,2,2013,18,2,65,36.66666666666666,18,2,4,4,244,At risk,374,Non-profitable
6205,1967,PostGraduation,Single,32557.0,1,0,2014-02-24,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,48,1,1,24,2,1,2014,10,0,13,13.333333333333334,6,5,2,2,522,Potential Loyalists,125,Non-profitable
8442,1985,PostGraduation,Partner,19510.0,2,0,2013-09-04,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,30,1,2,4,9,3,2013,16,0,63,7.5,4,2,1,1,211,Hibernating,298,Non-profitable
